20:22:04 [INFO] Found netvar: m_iCrosshairId => 0x117DC
20:22:04 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
20:22:04 [INFO] Found netvar: m_iFOVStart => 0x31F8
20:22:04 [INFO] Found netvar: m_iGlowIndex => 0x10470
20:22:04 [INFO] Found netvar: m_iHealth => 0x100
20:22:04 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
20:22:04 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
20:22:04 [INFO] Found netvar: m_iObserverMode => 0x3388
20:22:04 [INFO] Found netvar: m_iShotsFired => 0x103E0
20:22:04 [INFO] Found netvar: m_iState => 0x3268
20:22:04 [INFO] Found netvar: m_iTeamNum => 0xF4
20:22:04 [INFO] Found netvar: m_lifeState => 0x25F
20:22:04 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
20:22:04 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
20:22:04 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
20:22:04 [INFO] Found netvar: m_iDefaultFOV => 0x333C
20:22:04 [INFO] Found netvar: m_iFOV => 0x31F4
20:22:04 [INFO] Found netvar: m_nForceBone => 0x268C
20:22:04 [INFO] Found netvar: m_nTickBase => 0x3440
20:22:04 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
20:22:04 [INFO] Found netvar: m_szCustomName => 0x304C
20:22:04 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
20:22:04 [INFO] Found netvar: m_vecOrigin => 0x138
20:22:04 [INFO] Found netvar: m_vecVelocity => 0x114
20:22:04 [INFO] Found netvar: m_vecViewOffset => 0x108
20:22:04 [INFO] Found netvar: m_viewPunchAngle => 0x3030
20:22:04 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
20:22:04 [INFO] Found netvar: m_clrRender => 0x70
20:22:04 [INFO] Found netvar: m_bBombTicking => 0x2990
20:22:04 [INFO] Found netvar: m_bBombDefused => 0x29C0
20:22:04 [INFO] Found netvar: m_flC4Blow => 0x29A0
20:22:04 [INFO] Found netvar: m_hBombDefuser => 0x29C4
